country,1965.0_renewable_per,1966.0_renewable_per,1967.0_renewable_per,1968.0_renewable_per,1969.0_renewable_per,1970.0_renewable_per,1971.0_renewable_per,1972.0_renewable_per,1973.0_renewable_per,1974.0_renewable_per,1975.0_renewable_per,1976.0_renewable_per,1977.0_renewable_per,1978.0_renewable_per,1979.0_renewable_per,1980.0_renewable_per,1981.0_renewable_per,1982.0_renewable_per,1983.0_renewable_per,1984.0_renewable_per,1985.0_renewable_per,1986.0_renewable_per,1987.0_renewable_per,1988.0_renewable_per,1989.0_renewable_per,1990.0_renewable_per,1991.0_renewable_per,1992.0_renewable_per,1993.0_renewable_per,1994.0_renewable_per,1995.0_renewable_per,1996.0_renewable_per,1997.0_renewable_per,1998.0_renewable_per,1999.0_renewable_per,2000.0_renewable_per,2001.0_renewable_per,2002.0_renewable_per,2003.0_renewable_per,2004.0_renewable_per,2005.0_renewable_per,2006.0_renewable_per,2007.0_renewable_per,2008.0_renewable_per,2009.0_renewable_per,2010.0_renewable_per,2011.0_renewable_per,2012.0_renewable_per,2013.0_renewable_per,2014.0_renewable_per,2015.0_renewable_per,2016.0_renewable_per,2017.0_renewable_per,2018.0_renewable_per,2019.0_renewable_per
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08376785700423775,0.11962517374538163,0.1250258687855279,0.1442081257199415,0.13658289592854408,0.2017240647977233,0.2352961617594121,0.23093107299053509,0.24304984193281087,0.16913522192472513,0.18760838993667894,0.22481900637531055,0.2321572388315484,0.32157869483888857,0.3725226132984553,0.3745902581774131,0.41500747030034557,0.4375326342597398,0.5011125530968611,0.6097654122087584,0.6259228287753554,0.6735283551497484,0.7511178826008736,0.7326705839873319,0.7180814567118272,0.7966282649014828,0.8025869044428969,0.7678731261815974,0.8012130669964911,0.7852010362256427,0.9812330574622916,1.0145387663788599,1.0585741683783423,1.4333014546942384,1.6625077774765165,1.8435704527340047,2.070646014595965,2.0957486808169534,2.1614905192949627,3.1281469755981117,3.5038082057002753,3.48707511447195,3.5087599563032525,3.68226330795287
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08881805357272067,0.23187422188582382,0.24271490291824838,0.2549853673700235,0.24719935442078864,0.22160918497103593,0.34154401177084104,0.28139486270151337,0.2684187293272394,0.3461110282798729,0.36529459989238444,0.367442111445978,0.40367683579068436,0.8596850278493946,1.082990371501025,1.1276377141068996,1.0776997115497726,1.1231027698028422,1.2307522162150082,1.3205197309203338,1.341725995720405,1.2148072297120542,1.273524374592294,1.1904701426279911,1.1145962570078007,1.1139598499771348,1.0864326406443925,1.0892618957323807,1.0765207467592066,1.0625166765084928,1.1892052116220404,1.1708021847099366,1.2241212097080987,1.0944337556895039,1.211932297443029,1.1368103646858505,1.1436263501011554,1.1771806829067541,1.1540250361474529,1.3243723844410926,1.4415443084374941,1.7314480692495056,2.0429307753442947,2.1893736258952385,2.3323491259012483,2.7633617191445725,4.472264133634562
US,0.25426792164206086,0.2539045780647033,0.2455615894794984,0.2556953403063733,0.25335142231816293,0.24519788652946484,0.24536080904819074,0.26276161868782966,0.27018619231223984,0.2829173191351513,0.28075399474825374,0.30413285391327477,0.30909961013420534,0.322644616411814,0.3328033557018302,0.3574024324799649,0.37816808719636913,0.38059891191709994,0.431591769657579,0.4894820347270049,0.5017556228374902,0.5303783554703762,0.5654796836724554,0.5372365159511195,0.6340881592878249,0.8273253769044401,0.8825594645629653,0.9321388445502463,0.95731509158352,0.9524247684503739,0.9029623242756918,0.8551348127484151,0.8848767742513117,0.8861655255365105,0.9008525017218133,0.912538778585449,0.9544749114938421,1.0571218758845515,1.1197290177344392,1.19579539423073,1.2869325321383014,1.535105832304961,1.7315009074347318,2.2278656997363226,2.66278579678037,2.965009670108591,3.356522337829763,3.7074173981913234,4.078686619361404,4.340794358420874,4.610819956919944,5.224714614681088,5.674486734198117,5.7570790307383595,6.158085998768699
Total North America,0.22825895117688952,0.22778491934781617,0.22015939987568844,0.22906246555630827,0.226668939877175,0.2185625549923255,0.21837711360142495,0.23313992970470654,0.24087798764373508,0.25380695486427296,0.25198035482928854,0.2809128833160464,0.28804872338928855,0.29927805675096597,0.31348470043020205,0.33051236491526287,0.3541118543817732,0.3629612835433933,0.40644291794241383,0.4565201437502209,0.45902152705291416,0.5061066036698563,0.5499675354757227,0.5282639328347393,0.6189204045375755,0.791145054930795,0.8435592643368875,0.8936354944748764,0.9179233057344037,0.9144751614618803,0.8876586358202885,0.8454917616095939,0.8722447449441254,0.8827797510447335,0.8913645001802216,0.8997556351900992,0.9430877984629218,1.028416016915043,1.0833087668451198,1.1498301574424126,1.2262861022351936,1.4460334789818194,1.618054578958751,2.0234670153813483,2.421841322371383,2.7001260458248093,3.0260946777815745,3.342932006086494,3.6571634610000667,3.8994015766091223,4.255110829610176,4.806082958169322,5.173761790826954,5.28407554519763,5.744586321113098
Argentina,0.0,0.0,0.0,0.0,0.0,0.03920058626059853,0.0387033980732871,0.04907051984203616,0.03585208220249803,0.03507278765278959,0.039466026097238156,0.034210699966271685,0.035128982433415744,0.034614059542436466,0.05087790189555959,0.05204599020322998,0.04676917983258632,0.05862514038919317,0.08033934852231388,0.057081249925720175,0.062061167729460257,0.05827021400248113,0.056315069959921936,0.062228575575490115,0.0639425890020082,0.057786607134372545,0.053298175912987224,0.050676677088915066,0.05177939320467127,0.05644573792030729,0.05256945163777337,0.1532974964939654,0.19651060796315423,0.2044834090408804,0.2886334563239493,0.28736575806918724,0.26790802746844355,0.3920454752399975,0.4292796383044565,0.3607261872247626,0.3958942971374773,0.5349586467196075,0.5092293784036442,0.5274404035498051,0.5437489016874973,1.258106239180226,1.592416238365115,1.9337099228916694,1.9968553762562815,2.2159548118908843,2.303978528071789,2.2839579069523737,2.6557417010326643,2.8386722923353274,4.013970737882796
Brazil,0.0,0.0,0.0,0.0,0.0,0.5839338038646,0.6926279339127567,0.7961570912329368,0.6051843704827398,0.46495755786756693,0.44714746145881673,0.4136189374695865,0.7888484854863798,1.3212255622814055,1.7586593579493066,1.9749395094378885,1.9339777730700325,2.55481323163917,3.462196103994365,3.9240740648009442,4.438707782094955,5.318057103673192,5.319497456434183,5.34631182006345,5.623511041104324,5.293575089526494,5.3103476390295,5.138602942478363,5.103616439282783,5.1912250613958895,5.115683205154615,5.175207142805669,4.8443235341973905,4.621525142228923,4.658269909467254,4.006991597524749,4.063479010308386,4.486826259253769,4.443061231513534,4.623604559071975,4.869301526775683,4.667129005964401,5.86733724340128,7.104039718215091,7.939085707890549,8.395448137926056,7.650005076376532,7.6784118080632835,8.642476759065413,9.809914596658292,11.851369307232744,12.532728855747512,13.478827674550473,15.109050257048413,16.318916370839304
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.1892179582222918,0.15827287836955878,0.14725806819664933,0.13427895923671448,0.16531373366791882,0.22505629898930332,0.2378182251616343,0.25550689518769093,0.25539970679026847,0.2762857368561916,0.2820842678282931,0.3839262434753802,0.5674047102507339,0.5240500134769498,0.50137534714072,0.6890424202272458,0.6356460316551396,0.6869660989288914,0.6112410124149791,1.7406399991439014,1.6665178545273274,2.5419362154375107,2.4134526166097365,2.343495105132851,2.287655805717291,1.9941189052206165,1.7482631376443543,1.1594941105024672,1.3885003367533697,1.2453540468699775,1.5105665156440735,1.534173065285734,1.4594043702048933,1.6506749411706,1.3931814326016154,1.037491407294061,1.899787217959322,2.551478638175639,2.47813724023884,2.6409222828766588,3.0048353626065887,4.014323594605279,4.603656806256872,4.317328034303352,5.506495924810428,6.7659171225702694,8.52871807870644,9.624664306974143,11.624721016232055
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478581560103017,0.35689034303747974,0.331691179249301,0.33269288073209835,0.3283824105323024,0.3393065020986337,0.3095326016309856,0.32253457092852095,0.31086319313617505,0.32997227177360433,0.3323353479353501,0.3206324265727642,0.29711199592541093,0.30354821500287255,0.28848633211457764,0.3084825731553199,0.2915872990084535,0.352356389547027,0.36616562913148304,0.389264250706896,0.4118055070727347,0.4174974754300393,0.3950042390837533,0.4325570501620209,0.4017167546431304,0.4490608272615362,0.4541894659558274,0.4501991084358562,0.43710356631865777,0.44852764835285824,0.4768472749170437,0.45757468803527884,0.4384256136400988,0.41806225225716087,0.8036320570482455,0.8316914374195418,0.9779012739892864,0.9755158195055149,0.8874016629787391,1.0517792721958137,1.0945008990710285,1.103176471220508,1.051353238468195,1.131899743736402,1.1081586984076828
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007781022465600251,0.23163999982969996,0.30803599238829,0.44029915965617006,0.3952110170532973,0.41756932083599974,0.4270089073489555,0.47343251917136575,0.4774136432037042,0.5467248722915127,0.7287605550520289,0.8325189541007668,0.9615512809412271,0.7998185387066823,0.7907047457474969,0.9793906310827674
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.822017106060098,0.9178574141420606,0.8096411134461983,0.8079627732306466,0.784603969966304,0.7113370252983094,0.6984136961465501,0.6236786931760394,0.4544022114077408,0.2217764399817053,0.18886590697293948,0.37558639950109995,0.4080350613215774,0.37905447983201274,0.4549711364561143,0.38738759272955303,0.31836291645825604,0.326191288722012,0.37874032946318265,0.35911767238345393,0.3543560249459075,0.3629198917999911,0.27327935240435275,0.27416795664034227,0.2999515037563794,0.2806647676161295,0.3130733586203724,0.25528664949224555,0.2737902174245389,0.30256571938439847,0.3148410670281543,0.4721485831031831,0.49793969382773434,0.34882660216927913,0.6312988976173715,1.1332597519346936,1.1483827794561057,1.2468047536990117,1.5599932654523763,1.812804235210809,1.6694759538758468,2.2724613994304192,2.742790059330497,3.1612194759902232,3.100863729433449,3.094027787524368,3.511482489254046,4.188482723081288,4.551237076956259
