country,1965.0_co2_emission,1966.0_co2_emission,1967.0_co2_emission,1968.0_co2_emission,1969.0_co2_emission,1970.0_co2_emission,1971.0_co2_emission,1972.0_co2_emission,1973.0_co2_emission,1974.0_co2_emission,1975.0_co2_emission,1976.0_co2_emission,1977.0_co2_emission,1978.0_co2_emission,1979.0_co2_emission,1980.0_co2_emission,1981.0_co2_emission,1982.0_co2_emission,1983.0_co2_emission,1984.0_co2_emission,1985.0_co2_emission,1986.0_co2_emission,1987.0_co2_emission,1988.0_co2_emission,1989.0_co2_emission,1990.0_co2_emission,1991.0_co2_emission,1992.0_co2_emission,1993.0_co2_emission,1994.0_co2_emission,1995.0_co2_emission,1996.0_co2_emission,1997.0_co2_emission,1998.0_co2_emission,1999.0_co2_emission,2000.0_co2_emission,2001.0_co2_emission,2002.0_co2_emission,2003.0_co2_emission,2004.0_co2_emission,2005.0_co2_emission,2006.0_co2_emission,2007.0_co2_emission,2008.0_co2_emission,2009.0_co2_emission,2010.0_co2_emission,2011.0_co2_emission,2012.0_co2_emission,2013.0_co2_emission,2014.0_co2_emission,2015.0_co2_emission,2016.0_co2_emission,2017.0_co2_emission,2018.0_co2_emission,2019.0_co2_emission
Canada,260.33255734256073,271.69892860248336,285.5374804228226,308.28420139956256,320.4477410300776,344.9084603415019,351.58665082682785,367.977437071737,386.71705550785566,392.98122210107755,389.6758529595672,409.97831436926566,434.5360467157055,421.0577550748314,427.58078763809317,437.8002136938521,418.4026668743333,405.71874630466243,387.4062853916315,407.27808979144265,402.51650300411814,391.0521416548252,403.87927349007697,434.11415809855265,453.52763526023824,439.50583709771894,422.3614544784286,435.5034872229245,430.9736696037308,445.4020144794455,462.076117506267,471.6225093524034,486.1378350018955,500.05300730740225,506.08301127833784,527.6085624997504,525.5355786303877,536.5020547075092,548.0942423762343,541.746388489423,542.7051278245087,527.6103249328426,551.7009452489681,545.630690941673,503.7640934625829,530.0949310271699,541.0207535043036,526.3129651063864,544.0960668127314,553.4583123467817,546.2333729891045,537.7773582678645,549.10757197421,565.6356790227712,556.1885521674379
Mexico,62.13418850533407,65.056560852215,66.64835292367812,72.17178622836829,79.10762795356823,84.17308578886231,89.46254017934129,99.66826613317815,107.67411302400198,120.8601110786843,131.13146696835977,138.873799481394,146.5312698746033,165.1439961729009,180.23130095976674,198.12508524658816,210.96547200456055,221.33770956953452,217.8277408671416,226.52933765946776,233.89406968821902,230.37212031659064,239.9322348989206,240.95692100416213,253.87150874876556,267.70682412954636,277.1160313763111,279.98892343556207,283.96657351634974,307.6164763583251,294.8601234512523,306.29838923330453,319.9284781529404,337.08941230126305,333.90287674192905,353.84599880701904,352.35077828507934,371.58533060459314,372.86484237119345,390.4261008449039,416.5913998750868,427.3187545669723,429.6006549606112,432.23579381052866,433.5439253947584,442.6110638875942,465.8469046977086,473.97229035678237,472.8391360016054,459.6309514116424,463.121335428783,468.7914758235449,476.94585600997726,466.57562818247436,454.9729185619787
US,3480.084706022452,3675.466374394489,3772.622832640794,3994.225972367014,4170.119294261243,4298.208774787421,4340.724935461638,4564.699478235054,4764.40089966163,4596.3702549723685,4466.2745676989425,4741.8946909304905,4900.330367556506,4863.210023174577,4958.288573273809,4785.714698436482,4638.120434115161,4397.975099471815,4372.541379116256,4574.223474133649,4585.480324778296,4597.656131359851,4748.857987701639,4968.354284600271,5056.914490908484,4969.6204957568125,4922.019613272091,5004.14589628787,5116.911255519621,5195.304797445308,5228.000768571862,5407.870356722908,5483.175360223867,5524.199582067302,5574.136325888812,5740.774377327296,5650.723033563099,5672.395437256042,5737.867206229068,5838.971730484804,5873.133155820586,5795.104560699584,5884.151202981741,5699.1099088917545,5289.137235897246,5485.715925384143,5336.435924910266,5089.974540491144,5249.595898480584,5254.5650963847565,5141.406746426631,5042.43142598572,4983.86971785976,5116.785714545092,4964.693087543445
Total North America,3802.5514518703467,4012.2218638491872,4124.808665987295,4374.681959994945,4569.674663244889,4727.290320917786,4781.774126467807,5032.345181439969,5258.7920681934875,5110.21158815213,4987.0818876268695,5290.74680478115,5481.397684146814,5449.4117744223095,5566.100661871668,5421.639997376922,5267.488572994055,5025.031555346011,4977.77540537503,5208.03090158456,5221.890897470633,5219.080393331267,5392.669496090637,5643.425363702985,5764.313634917488,5676.8331569840775,5621.497099126831,5719.638306946356,5831.851498639701,5948.323288283079,5984.937009529382,6185.791255308615,6289.241673378703,6361.342001675967,6414.122213909079,6622.228938634065,6528.609390478567,6580.482822568144,6658.826290976496,6771.144219819131,6832.429683520181,6750.033640199399,6865.4528031913205,6676.976393643956,6226.445254754588,6458.421920298907,6343.303583112279,6090.259795954313,6266.531101294921,6267.65436014318,6150.761454844518,6049.0002600771295,6009.923145843948,6148.997021750337,5975.854558272861
Argentina,77.34149429004913,79.57954112506657,81.84633125960814,84.2395734922033,86.90291430122741,80.53508406030112,85.25405840628396,86.7419806922113,89.80217098913224,91.7534451505199,87.82025748646731,92.79295756183163,97.40210938426158,97.04093793408481,101.48982992839575,98.18889178674857,93.53045119396465,93.83100170095737,96.13310044830183,92.97715836990312,88.57944168430346,101.76540809439572,106.46535057836864,111.11703762436227,107.56783231902445,101.39539146635883,103.17690976656606,109.67178582805099,109.42680889517403,109.52151380201386,113.04525620900397,123.15629701484556,117.60288348402334,123.40579066603607,123.26404196853916,124.77639554651435,115.96199152409807,110.21990591865907,119.69531643467764,129.97799810662397,138.61461073245724,143.6199090784752,156.75561866588072,160.24973302980672,154.4695883948275,166.00012422564026,168.7469754804421,175.2682592293623,182.76462224135346,182.74549869479264,186.02181801609981,185.7621303367206,182.80782675593525,180.39493005420113,174.87727095957013
Brazil,51.52243442644914,56.16643499105858,58.01158741870785,68.14680646437718,74.25768709208822,83.88067427203178,92.17116117410642,103.54444605976903,123.60984158255233,133.3625546191074,139.22224277264877,149.49503572574807,156.02978890488907,168.39093241776337,176.3810596478918,175.7689009564727,167.31784835281675,167.894335751968,162.70890229101005,169.69501592655888,176.84159349903615,191.7326037145295,197.59970513221114,201.1365933972497,205.10540386314756,196.59057087392702,205.95298171265202,216.31968812656177,227.22833838359517,237.22634323561317,251.65174336718394,270.7857561750674,283.85330143911034,294.39935174009094,297.38636712503074,301.7119497857655,311.01813768000136,311.1035115046335,308.23425254480395,322.8666547096673,329.980407137989,335.417063632642,349.8186905040864,373.0320849821069,350.5023816173988,398.324213024161,423.7616182750846,442.85803122965916,482.87125490273434,503.77977235694715,487.04017827838396,450.367977759895,457.2292888390302,442.2506844781282,441.29991550268886
Chile,16.704365294528134,17.923390655556474,18.252534745405185,18.728528732725863,19.85040706261234,20.933188283161858,22.3880568706,22.373272153600002,21.6033978933,20.7122627392,17.959126213599998,18.9167705317,19.5529140648,20.7866032416,21.5422119312,22.092953377,22.5319362315,19.2147644407,19.4043039019,20.6232446389,20.245290472600004,20.874816525900002,21.593906049000005,25.5248820531,30.77505412,31.68744569619909,32.714439851948875,33.39412177199996,35.6148086588118,38.775735527706395,42.28003784813846,47.65076793847749,54.93688240510348,56.35785855064828,58.340952309418476,56.35388951256913,53.78674772486247,55.28663829604529,55.28895539712216,60.23705759220145,61.534746175657865,65.43809014865438,76.46720154566572,77.40118395821091,74.37201252874209,76.07434408466658,87.00508810414956,89.37845530444292,91.12045892768792,88.41585176598885,88.91933005394512,94.06172207446511,92.38738883756919,94.27408631475583,92.35951547373976
Colombia,21.308531378001824,23.052586739215304,24.36844865194753,25.21409778616887,25.320420938761078,27.662610554449756,26.202925415429604,29.349780427013602,28.591359649080797,32.3046523902424,32.66994637504429,33.79688499374694,34.53684693670138,35.84178878507315,37.624094896027195,37.40738677627141,38.49827205846138,39.95117211877976,42.500596585878824,42.7178349729439,44.02678632185259,43.652324289628446,48.22764508748099,46.406976726806015,48.79964040919519,41.979376780745696,44.57579105305249,52.6775840424539,55.29207047146931,58.32821102696684,58.78166252236647,57.499737832134045,62.53106901503067,63.33051310702337,54.974529537740956,54.920625636148564,52.90574941804139,50.541708038181476,52.36583641078903,51.88613212215553,50.87246637518011,61.259849610056946,60.01118034990137,67.35788625435471,65.15715227607012,72.59882961088992,71.2467941887165,79.71340423697171,83.4516836234459,89.16197530124117,89.76300055869378,95.14178085751008,89.36463716296463,90.0155965437774,100.63319393472868
Ecuador,2.0685126201,2.1505593794,2.3124342583,2.7633608443,2.9319866589000005,3.480899898,3.8028869143000006,3.8394284029,4.3208075135,4.8103891715,4.8339064213,5.620217890099999,6.801588670200001,6.9313611588000015,7.310104592400001,9.1544504425,10.032192733099999,10.9251941391,10.0633096803,10.600992586900004,12.822463053399998,13.0154179094,13.063830577400001,15.609339703099998,15.8111782699,16.608331487300003,18.7324157998,18.793553170699997,18.811483042200003,20.230637706,19.908539240900005,22.499033073500005,25.7008794396,25.6624980141,22.442436835800002,20.265145769000004,20.8734800773,20.279880870407034,20.37445579027951,23.08998027524646,25.221076082757136,26.712739381129868,26.991410978632025,27.468618794281642,27.88809449578393,32.126745667801956,32.84357564833606,34.28490802083232,36.549316050818156,38.464371968976856,37.55044520287701,35.40743401577669,34.319476638512405,36.992530487904325,35.60225955961519
Peru,12.529141818775502,15.395373486722585,15.48857120851244,15.669609125870384,15.653769266916528,16.413504507560106,16.423961628,14.2262462206,16.6410773965,19.6248962181,20.0697637989,20.133854507100004,20.1567249274,19.9056969286,20.6750309211,22.2275339157,22.7767748735,22.5002393526,19.481858673600005,20.262412331100006,19.583881711500002,20.8505800461,22.4758516352,22.236020539800002,19.8451815563,19.555756598400002,18.6274144363,19.244468155400003,19.94649838,21.582956624500003,24.2822855993,25.502873538200003,25.800466663500004,25.390300752100003,25.9180056507,26.046162586100003,24.4055329076,25.09349059179382,24.298160219632027,27.431789306736725,28.56431470279937,27.21408606154599,31.01462384176396,34.37977001247612,34.501500925591486,39.390954692602286,45.63263435597653,45.31504497510568,46.46806511222742,47.18096651966368,50.59859489092859,54.786073610010256,51.58236230914486,53.35760958402977,53.70772986913653
