year,Global,US,EU,India,China
1965,155.69093751335777,52.43379506763247,42.09318433227092,2.217659391055631,5.516043195424778
1966,164.0972125503863,55.38303799976934,43.28262159063976,2.2853765525646783,5.995001420026549
1967,170.2745107624931,57.31177572387811,44.509487604795076,2.3559105260695383,5.391340978327434
1968,180.6468746910396,60.7990942562689,47.391262953667706,2.517670031368624,5.445350202176992
1969,192.85727895867183,64.04961230554675,50.92758898390722,2.7908979433686243,6.627664195247787
1970,205.00707939815467,66.21550766100877,54.19538033495522,2.7295491466719213,8.486606443362833
1971,213.3571540831109,67.5919436274928,55.46464036228043,2.83804333810924,10.061688834044247
1972,224.9326352735797,71.06433022273536,58.120014201774396,2.987987055334456,10.846552900469026
1973,237.88387960160333,73.98487539567992,61.375230058623416,3.0492829993344563,11.449055799327438
1974,239.1628331610693,72.12094638884265,60.366645093774785,3.2325473950938406,11.805455074380534
1975,240.45812658284746,70.36160600106365,59.56981412139119,3.473186891128009,13.221453633690267
1976,253.45117551979627,74.19373885955814,62.977041488529025,3.642690584120309,13.920863399991152
1977,262.7467658520026,76.14413312342997,63.90446134780842,3.852342996887393,15.18078430938938
1978,271.95405561807513,76.48907002313156,66.2164969262343,3.998773649620309,16.647430175592927
1979,281.44517392784024,77.39115847550256,68.7124980644065,4.2231999951126085,17.147246224548677
1980,279.46195940776266,74.5829180097075,66.87010585241725,4.350661092146776,17.482637774624102
1981,278.15515611466043,72.39532948499286,64.93638772811018,4.818775975718401,17.247544695922834
1982,276.45804988574963,69.37762594315399,63.485414475280244,4.777145138000001,18.009721019605472
1983,280.9386891046068,69.07058060287035,63.75555808569276,5.0265234833317765,19.16648358706428
1984,294.4194883831853,72.74461609335434,65.42181692404472,5.367804272124499,20.564972804995122
1985,302.2277506342208,72.56411356936276,68.68502979180755,5.66894849687563,22.242502558623837
1986,308.88316962684985,73.00463311108864,69.8037493456937,6.069131145597108,23.311135627948666
1987,319.66310003407045,75.47505985819664,71.04176599869994,6.457539939872996,25.139286873539124
1988,331.8760521574434,78.93009067178606,71.65979708273949,7.027743100061921,27.00285313286385
1989,338.31194430087817,80.810177946229,71.85604585175147,7.674540443019331,28.334376865762
1990,342.2263387189924,80.99330473050999,71.56987504625381,8.236359628423276,28.701087430774113
1991,344.62865893179435,80.87997295559741,71.40546878201553,8.685825806900175,30.152810921904926
1992,347.2167069047619,82.09209478892349,70.15438387237825,9.134670498367974,31.75280741649533
1993,349.63260683310614,83.80575878547934,69.82935579012108,9.362388461293602,34.18981485732944
1994,354.1074806801452,85.3658512615778,69.49670442936771,9.860622343195788,36.292268779564466
1995,361.51531569722084,87.20019381394033,71.01183012305016,10.602797578850538,37.407438554104424
1996,372.1311982285302,90.1274893662344,73.3849458807076,11.033019490339123,39.355675706165634
1997,375.6670591539032,90.81223120328212,72.9240899302827,11.64674254333,39.58471188779056
1998,378.01654160619705,91.40875641941685,73.70705690390422,12.348667037515641,39.63891253594082
1999,384.8502707774368,93.02682379101122,73.37870794899865,12.681083248339439,41.02839606983106
2000,394.49984538278886,95.13879198283756,73.94751482287356,13.341557965993939,42.45316141855217
2001,398.4523339710532,92.89452493399062,75.37867521966395,13.410956585256686,44.841976602883975
2002,407.181975942203,94.23901794498337,74.74008138260571,14.028568378018164,48.84460712596172
2003,421.73739633098205,94.53503321710186,76.15359338352306,14.56802105964942,56.87522175383263
2004,442.2301961588669,96.3967141890565,77.08850275599119,15.629661400056465,66.545716125006
2005,457.07675350041166,96.4373138417024,77.23081556116477,16.56290826378718,75.60172011396577
2006,470.1432888195171,95.6583622677,77.61231392536246,17.410174168573967,82.88053390281351
2007,484.6690774490791,96.99645750797994,76.45908838575728,18.929108644567627,90.08781938108658
2008,490.22792259972664,94.60071170836387,76.02359377015782,20.004817217784108,93.44496936549164
2009,482.8156432173026,89.92401795024625,71.58006716877766,21.52434691120802,97.52314740733699
2010,506.0241372748856,92.97258881318764,74.15218968240029,22.55470757965575,104.28400236476385
2011,518.3108266318889,92.08836192294224,71.68876167248123,23.88045002606658,112.54080832717808
2012,524.9816920709843,89.6877650303421,71.04391396008756,25.11341421380375,117.04535023634341
2013,534.9079463838059,92.09548017718625,70.44960484097676,26.076945204031812,121.37465688680322
2014,539.2497921747522,93.05416795604008,67.71297039838586,27.8616750658919,124.19793291503358
2015,543.1748996320798,92.14900448893192,68.51787536865481,28.770818612858605,125.3768906155754
2016,550.6013359894823,92.01779900020365,69.13602838901252,30.06742863317348,126.95073677714029
2017,560.4215751046033,92.33052485487691,69.91023199789592,31.33455097978768,130.83173384424728
2018,576.2288096227534,95.60291900673941,69.80643491639496,33.3017935763807,135.77069691532407
2019,583.8989769043484,94.64880403997982,68.80626893876482,34.05951445882368,141.69921799062104
2020,568.7054695608658,93.69468907322016,66.68270769051469,34.84468562011807,152.76538945684297
2030,643.0463738385731,84.15353940562431,60.078761428809464,46.78990487290048,205.70352951098167
2040,717.3872781162804,74.61238973802847,53.474815167104,58.73512412568243,258.64166956511866
2050,791.7281823939876,65.07124007043261,46.87086890539877,70.68034337846484,311.5798096192575
