,Year,India,China,European_Union,United_States_of_America,Global
0,1965,-0.036416666666666674,-0.0019999999999999827,-0.4900000000000001,-0.15916666666666668,-0.11
1,1966,0.2594166666666667,0.16524999999999992,0.03958333333333331,-0.3253333333333333,-0.06
2,1967,-0.13799999999999998,-0.3643333333333333,0.3609166666666667,0.10325,-0.02
3,1968,-0.2851666666666667,-0.07291666666666659,-0.04441666666666666,-0.2315,-0.08
4,1969,0.3278333333333333,-0.3960833333333334,-0.4143333333333333,-0.022583333333333303,0.05
5,1970,-0.04124999999999999,-0.2443333333333333,-0.20141666666666666,-0.12425,0.03
6,1971,-0.4637500000000001,0.05541666666666666,-0.020249999999999973,-0.37366666666666665,-0.08
7,1972,0.09991666666666664,-0.01691666666666667,0.032249999999999966,-0.386,0.01
8,1973,0.2340833333333333,0.4094999999999999,0.04616666666666669,0.12191666666666667,0.16
9,1974,-0.009833333333333331,-0.17983333333333335,0.4424166666666667,0.015250000000000031,-0.07
10,1975,-0.29975,0.3061666666666667,0.6015833333333332,-0.37516666666666665,-0.01
11,1976,0.08558333333333333,-0.3225833333333333,-0.2073333333333333,-0.18958333333333333,-0.1
12,1977,0.11974999999999998,0.08124999999999999,0.15208333333333338,0.4580833333333334,0.18
13,1978,-0.1805833333333333,0.2793333333333334,-0.40625,0.0011666666666666585,0.07
14,1979,0.3185,0.303,-0.15108333333333324,-0.17391666666666672,0.16
15,1980,0.3604166666666666,0.15208333333333332,-0.4705833333333334,0.33474999999999994,0.26
16,1981,-0.005583333333333332,0.14600000000000002,0.018249999999999992,0.9113333333333332,0.32
17,1982,-0.009666666666666676,0.37716666666666665,0.5275,-0.21841666666666668,0.14
18,1983,-0.27641666666666664,0.17858333333333332,0.6385833333333333,0.1723333333333333,0.31
19,1984,-0.10558333333333332,-0.2825,0.12866666666666668,0.078,0.16
20,1985,0.17116666666666666,-0.061666666666666675,-0.5518333333333333,-0.15574999999999994,0.12
21,1986,0.05891666666666667,0.08225,-0.08275000000000003,0.7729166666666667,0.18
22,1987,0.5317500000000001,0.4512500000000001,-0.30325,0.8278333333333331,0.32
23,1988,0.4565833333333333,0.4566666666666667,0.6033333333333333,0.465,0.39
24,1989,-0.14849999999999994,0.42475,1.30625,0.12458333333333332,0.28
25,1990,-0.0976666666666667,0.8373333333333334,1.3025000000000002,0.7315833333333335,0.45
26,1991,0.067,0.42408333333333337,0.3380000000000001,0.7030833333333333,0.41
27,1992,-0.024416666666666673,0.16849999999999998,0.8670833333333333,0.25416666666666665,0.22
28,1993,0.13641666666666666,0.20108333333333334,0.28424999999999995,0.15274999999999994,0.24
29,1994,-0.004083333333333325,0.8009166666666667,1.1556666666666666,0.4658333333333333,0.32
30,1995,0.19258333333333333,0.5193333333333333,0.8555,0.5457500000000001,0.45
31,1996,0.17225,0.2370833333333333,-0.08358333333333337,-0.02141666666666669,0.33
32,1997,-0.16333333333333333,0.695,0.9027500000000002,0.4012500000000001,0.47
33,1998,0.5232500000000001,1.3825,0.7391666666666667,1.3258333333333332,0.61
34,1999,0.3795,1.15775,1.1575833333333334,0.7101666666666667,0.39
35,2000,0.2964166666666666,0.5569999999999999,1.5559166666666666,0.8445833333333331,0.4
36,2001,0.4250833333333333,0.93575,0.9458333333333334,0.9520000000000001,0.54
37,2002,0.7755000000000001,1.1547500000000002,1.3208333333333335,1.0078333333333334,0.63
38,2003,0.50975,0.9020833333333332,1.20725,0.9226666666666667,0.62
39,2004,0.5140833333333333,1.144,0.9396666666666668,0.8759166666666666,0.54
40,2005,0.4087499999999999,0.8842499999999999,0.9170833333333333,1.0961666666666667,0.68
41,2006,0.6550833333333334,1.372083333333333,1.3689166666666666,1.1219166666666665,0.64
42,2007,0.4760833333333334,1.6083333333333334,1.5328333333333333,1.0060833333333334,0.67
43,2008,0.2610833333333333,1.0474166666666669,1.38375,0.1406666666666667,0.55
44,2009,0.977,1.2319166666666668,1.2351666666666663,0.3409166666666667,0.66
45,2010,0.92925,0.9825833333333334,0.265,0.6799166666666666,0.73
46,2011,0.29558333333333336,0.7675833333333334,1.586083333333333,0.7316666666666666,0.61
47,2012,0.3719166666666667,0.5444999999999999,1.0511666666666666,1.3788333333333334,0.65
48,2013,0.2694166666666667,1.2096666666666671,1.1195000000000002,0.4789166666666665,0.68
49,2014,0.3909166666666665,0.9838333333333332,2.0089166666666665,0.726,0.75
50,2015,0.6753333333333335,1.4247499999999995,1.928583333333333,1.5373333333333334,0.9
51,2016,0.9863333333333336,1.4418333333333333,1.6086666666666665,1.9739166666666668,1.02
52,2017,0.8368333333333333,1.4541666666666666,1.5753333333333333,1.5460000000000005,0.93
53,2018,0.7120833333333333,1.2690833333333331,1.95525,1.2118333333333335,0.85
54,2019,0.6746666666666666,1.4784166666666667,2.02,1.0297500000000002,0.98
55,2030,0.8260606301106321,1.7219726070226071,2.1097082732082697,1.5454451539201486,1.0835953520164026
56,2040,0.9781527417027434,2.028027200577206,2.489781024531027,1.825236940836937,1.269935064935062
57,2050,1.1302448532948546,2.3340817941317984,2.8698537758537697,2.1050287277537265,1.4562747778537215
